Year,Month,Anomaly
2002,May,0.63
2002,June,0.53
2002,July,0.61
2002,August,0.54
2002,September,0.63
2002,October,0.54
2002,November,0.59
2002,December,0.44
2003,January,0.75
2003,February,0.58
2003,March,0.6
2003,April,0.55
2003,May,0.61
2003,June,0.48
2003,July,0.59
2003,August,0.65
2003,September,0.62
2003,October,0.74
2003,November,0.53
2003,December,0.75
2004,January,0.59
2004,February,0.73
2004,March,0.64
2004,April,0.61
2004,May,0.38
2004,June,0.44
2004,July,0.27
2004,August,0.47
2004,September,0.5
2004,October,0.61
2004,November,0.73
2004,December,0.51
2005,January,0.75
2005,February,0.6
2005,March,0.75
2005,April,0.68
2005,May,0.63
2005,June,0.65
2005,July,0.62
2005,August,0.62
2005,September,0.71
2005,October,0.75
2005,November,0.74
2005,December,0.68
2006,January,0.56
2006,February,0.73
2006,March,0.63
2006,April,0.49
2006,May,0.5
2006,June,0.66
2006,July,0.55
2006,August,0.71
2006,September,0.65
2006,October,0.7
2006,November,0.74
2006,December,0.79
2007,January,1.03
2007,February,0.7
2007,March,0.73
2007,April,0.77
2007,May,0.69
2007,June,0.62
2007,July,0.61
2007,August,0.6
2007,September,0.6
2007,October,0.59
2007,November,0.59
2007,December,0.5
2008,January,0.31
2008,February,0.38
2008,March,0.75
2008,April,0.54
2008,May,0.49
2008,June,0.5
2008,July,0.6
2008,August,0.48
2008,September,0.61
2008,October,0.66
2008,November,0.69
2008,December,0.54
2009,January,0.65
2009,February,0.53
2009,March,0.54
2009,April,0.61
2009,May,0.65
2009,June,0.65
2009,July,0.75
2009,August,0.68
2009,September,0.73
2009,October,0.65
2009,November,0.82
2009,December,0.68
2010,January,0.75
2010,February,0.84
2010,March,0.92
2010,April,0.84
2010,May,0.75
2010,June,0.68
2010,July,0.63
2010,August,0.68
2010,September,0.64
2010,October,0.71
2010,November,0.82
2010,December,0.45
2011,January,0.52
2011,February,0.48
2011,March,0.65
2011,April,0.65
2011,May,0.53
2011,June,0.62
2011,July,0.71
2011,August,0.75
2011,September,0.57
2011,October,0.66
2011,November,0.58
2011,December,0.6
2012,January,0.49
2012,February,0.5
2012,March,0.58
2012,April,0.72
2012,May,0.79
2012,June,0.65
2012,July,0.58
2012,August,0.64
2012,September,0.72
2012,October,0.79
2012,November,0.79
2012,December,0.53
2013,January,0.71
2013,February,0.63
2013,March,0.68
2013,April,0.55
2013,May,0.61
2013,June,0.69
2013,July,0.61
2013,August,0.71
2013,September,0.78
2013,October,0.69
2013,November,0.84
2013,December,0.7
2014,January,0.76
2014,February,0.55
